Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
GA,US,3/7/20,1,0,0,33.8999,-84.5641
UT,US,3/7/20,1,0,0,40.9629,-112.0953
CO,US,3/7/20,1,0,0,38.9108,-104.4723
HI,US,3/7/20,1,0,0,21.307,-157.8584
R ,US,3/7/20,1,0,0,42.3345,-122.7647
WA,US,3/7/20,1,0,0,47.7425,-123.304
SC,US,3/7/20,1,0,0,34.3672,-80.5883
OR,US,3/7/20,1,0,0,42.6953,-121.6142
CA,US,3/7/20,1,0,0,37.2519,-119.6963
MA,US,3/7/20,1,0,0,41.912,-70.7168
WA,US,3/7/20,1,0,0,47.0676,-122.1295
MA,US,3/7/20,1,0,0,42.1615,-70.7928
CA,US,3/7/20,1,0,0,36.9741,-122.0308
OK,US,3/7/20,1,0,0,36.1593,-95.941
TX,US,3/7/20,0,0,0,30.3213,-95.4778
WA,US,3/8/20,83,17,1,47.548,-121.9836
NY,US,3/8/20,83,0,0,41.122,-73.7949
CA,US,3/8/20,38,0,1,37.3541,-121.9552
WA,US,3/8/20,31,1,0,48.033,-121.8339
CA,US,3/8/20,14,0,0,34.0522,-118.2437
CA,US,3/8/20,12,0,0,37.8534,-121.9018
NY,US,3/8/20,12,0,0,40.7128,-74.006
CA,US,3/8/20,9,0,0,37.7749,-122.4194
MA,US,3/8/20,8,0,1,42.3601,-71.0589
OR,US,3/8/20,8,0,0,45.547,-123.1386
IL,US,3/8/20,7,0,2,41.7377,-87.6976
MA,US,3/8/20,7,0,0,42.4672,-71.2874
TX,US,3/8/20,6,0,0,29.5693,-95.8143
MA,US,3/8/20,6,0,0,42.1767,-71.1449
NY,US,3/8/20,5,0,0,40.6546,-73.5594
NJ,US,3/8/20,4,0,0,40.9263,-74.077
NH,US,3/8/20,4,0,0,43.9088,-71.82600000000002
MD,US,3/8/20,4,0,0,39.1547,-77.2405
PA,US,3/8/20,4,0,0,40.229,-75.3879
WA,US,3/8/20,4,0,0,47.0676,-122.1295
NV,US,3/8/20,2,0,0,36.0796,-115.094
VA,US,3/8/20,2,0,0,38.9085,-77.2405
R ,US,3/8/20,2,0,0,42.3345,-122.7647
FL,US,3/8/20,2,1,0,26.663,-81.9535
NH,US,3/8/20,2,0,0,42.9931,-71.0498
DC,US,3/8/20,2,0,0,38.9072,-77.0369
NV,US,3/8/20,2,0,0,40.5608,-119.6035
MA,US,3/8/20,1,0,0,42.3118,-73.1822
TN,US,3/8/20,1,0,0,36.1343,-86.822
OR,US,3/8/20,1,0,0,43.1261,-123.2492
CT,US,3/8/20,1,0,0,41.256,-73.3709
CA,US,3/8/20,1,0,0,36.9859,-119.2321
MD,US,3/8/20,1,0,0,39.5839,-76.3637
IN,US,3/8/20,1,0,0,39.8065,-86.5401
NJ,US,3/8/20,1,0,0,40.7453,-74.0535
KS,US,3/8/20,1,0,0,38.8454,-94.8521
WA,US,3/8/20,1,0,0,47.175,-120.9319
FL,US,3/8/20,1,0,0,27.4799,-82.3452
OR,US,3/8/20,1,0,0,44.8446,-122.5927
FL,US,3/8/20,1,0,0,30.5773,-86.6611
GA,US,3/8/20,1,0,0,34.0132,-85.1479
CA,US,3/8/20,1,0,0,33.9533,-117.3961
FL,US,3/8/20,1,1,0,30.769,-86.9824
TN,US,3/8/20,1,0,0,35.1269,-89.9253
WA,US,3/8/20,1,0,0,47.6587,-117.4225
MO,US,3/8/20,1,0,0,38.6103,-90.4125
NY,US,3/8/20,1,0,0,40.9849,-72.6151
NY,US,3/8/20,1,0,0,41.8586,-74.3118
VT,US,3/8/20,1,0,0,44.3378,-72.7563
MA,US,3/8/20,1,0,0,42.4072,-71.3824
FL,US,3/8/20,1,0,0,29.028,-81.0755
NY,US,3/9/20,98,0,0,41.122,-73.7949
NY,US,3/9/20,19,0,0,40.7128,-74.006
NY,US,3/9/20,17,0,0,40.6546,-73.5594
CA,US,3/9/20,7,1,0,39.0916,-120.8039
TX,US,3/9/20,6,0,0,29.7752,-95.3103
GA,US,3/9/20,5,0,0,33.8034,-84.3963
PA,US,3/9/20,5,0,0,40.229,-75.3879
SC,US,3/9/20,4,0,0,34.3672,-80.5883
CA,US,3/9/20,4,0,0,33.7879,-117.8531
NY,US,3/9/20,4,0,0,41.1489,-73.983
FL,US,3/9/20,3,0,0,26.1901,-80.3659
GA,US,3/9/20,3,0,0,33.8999,-84.5641
NE,US,3/9/20,3,0,0,41.3148,-96.1951
IA,US,3/9/20,3,0,0,41.6699,-91.5984
CA,US,3/9/20,3,0,0,38.578,-122.9888
KY,US,3/9/20,2,0,0,38.4333,-84.3542
IN,US,3/9/20,2,0,0,39.8065,-86.5401
HI,US,3/9/20,2,0,0,21.307,-157.8584
FL,US,3/9/20,2,0,0,27.4799,-82.3452
VT,US,3/9/20,1,0,0,43.0279,-73.135
MN,US,3/9/20,1,0,0,44.8254,-93.7842
FL,US,3/9/20,1,0,0,26.8946,-81.9098
GA,US,3/9/20,1,0,0,34.2515,-84.4803
TX,US,3/9/20,1,0,0,33.1795,-96.493
WA,US,3/9/20,1,1,0,47.1981,-119.3732
KY,US,3/9/20,1,0,0,38.1938,-85.6435
LA,US,3/9/20,1,0,0,29.6499,-90.1121
NH,US,3/9/20,1,0,0,42.9931,-71.0498
CA,US,3/9/20,1,0,0,40.7909,-121.8474
SC,US,3/9/20,1,0,0,34.8606,-81.9535
WA,US,3/10/20,267,23,1,47.4009,-121.4905
NY,US,3/10/20,173,0,0,42.1657,-74.9481
CA,US,3/10/20,144,2,2,36.1162,-119.6816
MA,US,3/10/20,92,0,1,42.2302,-71.5301
Diamond Princess,US,3/10/20,46,0,0,35.4437,139.638
Grand Princess,US,3/10/20,21,0,0,37.6489,-122.6655
GA,US,3/10/20,17,0,0,33.0406,-83.6431
CO,US,3/10/20,15,0,0,39.0598,-105.3111
FL,US,3/10/20,15,2,0,27.7663,-81.6868
NJ,US,3/10/20,15,1,0,40.2989,-74.521
OR,US,3/10/20,15,0,0,44.572,-122.0709
TX,US,3/10/20,13,0,0,31.0545,-97.5635
IL,US,3/10/20,12,0,2,40.3495,-88.9861
PA,US,3/10/20,12,0,0,40.5908,-77.2098
IA,US,3/10/20,8,0,0,42.0115,-93.2105
MD,US,3/10/20,8,0,0,39.0639,-76.8021
NC,US,3/10/20,7,0,0,35.6301,-79.8064
SC,US,3/10/20,7,0,0,33.8569,-80.945
TN,US,3/10/20,7,0,0,35.7478,-86.6923
VA,US,3/10/20,7,0,0,37.7693,-78.17
AZ,US,3/10/20,6,0,1,33.7298,-111.4312
IN,US,3/10/20,6,0,0,39.8494,-86.2583
KY,US,3/10/20,6,0,0,37.6681,-84.6701
DC,US,3/10/20,5,0,0,38.8974,-77.0268
NV,US,3/10/20,4,0,0,38.3135,-117.0554
NH,US,3/10/20,4,0,0,43.4525,-71.5639
MN,US,3/10/20,3,0,0,45.6945,-93.9002
NE,US,3/10/20,3,0,0,41.1254,-98.2681
OH,US,3/10/20,3,0,0,40.3888,-82.7649
RI,US,3/10/20,3,0,0,41.6809,-71.5118
WI,US,3/10/20,3,0,1,44.2685,-89.6165
CT,US,3/10/20,2,0,0,41.5978,-72.7554
HI,US,3/10/20,2,0,0,21.0943,-157.4983
OK,US,3/10/20,2,0,0,35.5653,-96.9289
UT,US,3/10/20,2,0,0,40.15,-111.8624
KS,US,3/10/20,1,0,0,38.5266,-96.7265
LA,US,3/10/20,1,0,0,31.1695,-91.8678
MO,US,3/10/20,1,0,0,38.4561,-92.2884
VT,US,3/10/20,1,0,0,44.0459,-72.7107
AK,US,3/10/20,0,0,0,61.3707,-152.4044
AR,US,3/10/20,0,0,0,34.9697,-92.3731
DE,US,3/10/20,0,0,0,39.3185,-75.5071
ID,US,3/10/20,0,0,0,44.2405,-114.4788
ME,US,3/10/20,0,0,0,44.6939,-69.3819
MI,US,3/10/20,0,0,0,43.3266,-84.5361
MS,US,3/10/20,0,0,0,32.7416,-89.6787
MT,US,3/10/20,0,0,0,46.9219,-110.4544
NM,US,3/10/20,0,0,0,34.8405,-106.2485
ND,US,3/10/20,0,0,0,47.5289,-99.784
SD,US,3/10/20,0,0,0,44.2998,-99.4388
WV,US,3/10/20,0,0,0,38.4912,-80.9545
WY,US,3/10/20,0,0,0,42.756,-107.3025
WA,US,3/11/20,366,29,1,47.4009,-121.4905
NY,US,3/11/20,220,0,0,42.1657,-74.9481
CA,US,3/11/20,177,3,2,36.1162,-119.6816
MA,US,3/11/20,95,0,1,42.2302,-71.5301
CO,US,3/11/20,34,0,0,39.0598,-105.3111
FL,US,3/11/20,28,2,0,27.7663,-81.6868
IL,US,3/11/20,25,0,2,40.3495,-88.9861
