Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
xi,Mainland China,03/02/2020,133,0,119,37.5777,112.2922
ne,Spain,03/02/2020,120,0,2,40.0,-4.0
ne,Singapore,03/02/2020,108,0,78,1.2833,103.8333
ng,Hong Kong,03/02/2020,100,2,36,22.3,114.2
in,Mainland China,03/02/2020,93,1,83,43.6661,126.1923
su,Mainland China,03/02/2020,91,2,85,36.0611,103.8343
ng,Mainland China,03/02/2020,76,3,66,41.1129,85.2401
ia,Mainland China,03/02/2020,75,0,54,44.0935,113.9448
ia,Mainland China,03/02/2020,74,0,69,37.2692,106.1655
ne,Kuwait,03/02/2020,56,0,0,29.5,47.75
ne,Bahrain,03/02/2020,49,0,0,26.0275,50.55
s),US,03/02/2020,45,0,0,35.4437,139.638
ne,Thailand,03/02/2020,43,1,31,15.0,101.0
ne,Switzerland,03/02/2020,42,0,0,46.8182,8.2275
an,Taiwan,03/02/2020,41,1,12,23.7,121.0
ne,UK,03/02/2020,40,0,8,55.0,-3.0
ne,Iraq,03/02/2020,26,0,0,33.0,44.0
ne,Norway,03/02/2020,25,0,0,60.472,8.4689
ne,Austria,03/02/2020,18,0,0,47.5162,14.5501
ne,Netherlands,03/02/2020,18,0,0,52.1326,5.2913
ON,Canada,03/02/2020,17,0,2,43.6532,-79.3832
ne,Sweden,03/02/2020,15,0,0,63.0,16.0
WA,US,03/02/2020,14,5,1,47.548,-121.9836
ne,Lebanon,03/02/2020,13,0,0,33.8547,35.8623
ia,Australia,03/02/2020,9,0,4,-37.8136,144.9631
CA,US,03/02/2020,9,0,1,37.3541,-121.9552
ne,Belgium,03/02/2020,8,0,1,50.8333,4.0
ne,San Marino,03/02/2020,8,0,0,43.9424,12.4578
ne,Iceland,03/02/2020,6,0,0,64.9631,-19.0208
ne,India,03/02/2020,5,0,3,21.0,78.0
IL,US,03/02/2020,4,0,2,41.7377,-87.6976
WA,US,03/02/2020,4,1,0,48.033,-121.8339
ne,Algeria,03/02/2020,3,0,0,28.0339,1.6596
ne,Czech Republic,03/02/2020,3,0,0,49.8175,15.473
ne,Russia,03/02/2020,3,0,2,60.0,90.0
ne,Indonesia,03/02/2020,2,0,0,-0.7893,113.9213
ne,Portugal,03/02/2020,2,0,0,39.3999,-8.2245
OR,US,03/02/2020,2,0,0,45.5051,-122.675
RI,US,03/02/2020,2,0,0,41.824,-71.4128
ne,Andorra,03/02/2020,1,0,0,42.5063,1.5218
ia,Australia,03/02/2020,1,0,0,-41.4545,145.9707
ne,Dominican Republic,03/02/2020,1,0,0,18.7357,-70.1627
ne,Latvia,03/02/2020,1,0,0,56.8796,24.6032
ne,Morocco,03/02/2020,1,0,0,31.7917,-7.0926
ne,Saudi Arabia,03/02/2020,1,0,0,24.0,45.0
ne,Senegal,03/02/2020,1,0,0,14.4974,-14.4524
NH,US,03/02/2020,1,0,0,43.9088,-71.826
FL,US,03/02/2020,1,0,0,27.9904,-82.3018
NY,US,03/02/2020,1,0,0,40.7128,-74.006
CA,US,03/02/2020,1,0,0,39.0916,-120.8039
CA,US,03/02/2020,1,0,0,37.563,-122.3255
FL,US,03/02/2020,1,0,0,27.3364,-82.5307
CA,US,03/02/2020,1,0,0,38.578,-122.9888
OR,US,03/02/2020,1,0,0,45.775,-118.7606
ei,Mainland China,03/03/2020,67217,2835,36208,30.9756,112.2707
ne,South Korea,03/03/2020,5186,28,30,36.0,128.0
ne,Italy,03/03/2020,2502,79,160,43.0,12.0
ne,Iran,03/03/2020,2336,77,291,32.0,53.0
ng,Mainland China,03/03/2020,1350,7,1101,23.3417,113.4244
an,Mainland China,03/03/2020,1272,22,1231,33.882,113.614
ng,Mainland China,03/03/2020,1213,1,1093,29.1832,120.0934
an,Mainland China,03/03/2020,1018,4,906,27.6104,111.7088
ui,Mainland China,03/03/2020,990,6,936,31.8257,117.2264
xi,Mainland China,03/03/2020,935,1,870,27.614,115.7221
ng,Mainland China,03/03/2020,758,6,511,36.3427,118.1498
ip,Others,03/03/2020,706,6,10,35.4437,139.638
su,Mainland China,03/03/2020,631,0,562,32.9711,119.455
ng,Mainland China,03/03/2020,576,6,490,30.0572,107.874
an,Mainland China,03/03/2020,538,3,394,30.6171,102.7103
ng,Mainland China,03/03/2020,480,13,366,47.862,127.7615
ng,Mainland China,03/03/2020,414,8,288,40.1824,116.4142
ai,Mainland China,03/03/2020,338,3,294,31.202,121.4491
ei,Mainland China,03/03/2020,318,6,300,38.0428,114.5149
an,Mainland China,03/03/2020,296,1,260,26.0789,117.9874
ne,Japan,03/03/2020,293,6,43,36.0,138.0
xi,Mainland China,03/03/2020,252,2,202,23.8298,108.7881
ne,France,03/03/2020,204,4,12,47.0,2.0
ne,Germany,03/03/2020,196,0,16,51.0,9.0
an,Mainland China,03/03/2020,174,2,169,24.974,101.487
an,Mainland China,03/03/2020,168,5,155,19.1959,109.7453
ne,Spain,03/03/2020,165,1,2,40.0,-4.0
in,Mainland China,03/03/2020,136,3,124,39.3054,117.323
xi,Mainland China,03/03/2020,133,0,124,37.5777,112.2922
ng,Mainland China,03/03/2020,125,1,106,41.2956,122.6085
ne,Singapore,03/03/2020,110,0,78,1.2833,103.8333
ng,Hong Kong,03/03/2020,100,2,37,22.3,114.2
su,Mainland China,03/03/2020,91,2,86,36.0611,103.8343
ng,Mainland China,03/03/2020,76,3,68,41.1129,85.2401
ia,Mainland China,03/03/2020,75,1,59,44.0935,113.9448
ne,Switzerland,03/03/2020,56,0,2,46.8182,8.2275
ne,UK,03/03/2020,51,0,8,55.0,-3.0
an,Taiwan,03/03/2020,42,1,12,23.7,121.0
ne,Malaysia,03/03/2020,36,0,22,2.5,112.5
ne,Iraq,03/03/2020,32,0,0,33.0,44.0
ne,Norway,03/03/2020,32,0,0,60.472,8.4689
ne,United Arab Emirates,03/03/2020,27,0,5,24.0,54.0
ne,Netherlands,03/03/2020,24,0,0,52.1326,5.2913
